"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun May 07 15:58:16 GMT 2023","Sun May 07 15:58:17 GMT 2023","872","","com.codecool.vizsgaremek.functions.TermsAndConditionsTest","","com.codecool.vizsgaremek.functions.TermsAndConditionsTest","displayTermsAndConditionsPopUp","TC02 - Terms and Conditions PopUp window is displayed","Terms and Conditions pop up window is displayed"
"passed","Sun May 07 15:57:47 GMT 2023","Sun May 07 15:57:48 GMT 2023","1065","","com.codecool.vizsgaremek.functions.RegistrationTest","","com.codecool.vizsgaremek.functions.RegistrationTest","performRegistrationTest","TC04 - New user registration","Perform Registration for new user"
"passed","Sun May 07 15:58:26 GMT 2023","Sun May 07 15:58:27 GMT 2023","849","","com.codecool.vizsgaremek.functions.LoginAndLogoutTest","","com.codecool.vizsgaremek.functions.LoginAndLogoutTest","performLoginWithWrongPassword","TC12 - Login with wrong password","Perform login with wrong password"
"passed","Sun May 07 15:58:02 GMT 2023","Sun May 07 15:58:03 GMT 2023","1114","","com.codecool.vizsgaremek.functions.SaveTest","","com.codecool.vizsgaremek.functions.SaveTest","saveAboutRoxoContentToAFile","TC24 - Save Roxo content","Save Roxo content to a file"
"failed","Sun May 07 15:58:08 GMT 2023","Sun May 07 15:58:16 GMT 2023","7691","","com.codecool.vizsgaremek.functions.RepeatedAndSequentialDataEntriesTest","","com.codecool.vizsgaremek.functions.RepeatedAndSequentialDataEntriesTest","sendMessageMultipleTimes","TC28 - Message sending test from Json file multiple times","Message sending throughout the contact form multiple times"
"passed","Sun May 07 15:57:52 GMT 2023","Sun May 07 15:57:54 GMT 2023","1742","","com.codecool.vizsgaremek.functions.DeleteDataTest","","com.codecool.vizsgaremek.functions.DeleteDataTest","performDeleteAccount","TC16 - Delete user account","Delete user account"
"passed","Sun May 07 15:57:43 GMT 2023","Sun May 07 15:57:45 GMT 2023","1812","","com.codecool.vizsgaremek.functions.RegistrationTest","","com.codecool.vizsgaremek.functions.RegistrationTest","performRegistrationTest2","TC05 - New user registration with login","Perform Registration for new user and login with"
"passed","Sun May 07 15:58:17 GMT 2023","Sun May 07 15:58:18 GMT 2023","700","","com.codecool.vizsgaremek.functions.TermsAndConditionsTest","","com.codecool.vizsgaremek.functions.TermsAndConditionsTest","acceptTermsAndConditions","TC03 - Accept and Validate Terms and Conditions PopUp window","Accept Terms and Conditions"
"failed","Sun May 07 15:57:46 GMT 2023","Sun May 07 15:57:47 GMT 2023","1013","","com.codecool.vizsgaremek.functions.RegistrationTest","","com.codecool.vizsgaremek.functions.RegistrationTest","registrationWithEmptyInputFields","TC07 - New user registration without empty input fields","Perform Registration with empty input fields"
"passed","Sun May 07 15:57:55 GMT 2023","Sun May 07 15:57:56 GMT 2023","747","","com.codecool.vizsgaremek.functions.ListDataTest","","com.codecool.vizsgaremek.functions.ListDataTest","listTeamMembers","TC21 - List team members","List team members"
"passed","Sun May 07 15:57:56 GMT 2023","Sun May 07 15:57:57 GMT 2023","773","","com.codecool.vizsgaremek.functions.ListDataTest","","com.codecool.vizsgaremek.functions.ListDataTest","listExpertises","TC23 - List expertises","List expertises"
"failed","Sun May 07 15:57:45 GMT 2023","Sun May 07 15:57:46 GMT 2023","1095","","com.codecool.vizsgaremek.functions.RegistrationTest","","com.codecool.vizsgaremek.functions.RegistrationTest","registrationWithoutPassword","TC06 - New user registration without password given","Perform Registration without password given"
"passed","Sun May 07 15:58:06 GMT 2023","Sun May 07 15:58:08 GMT 2023","2589","","com.codecool.vizsgaremek.functions.RepeatedAndSequentialDataEntriesTest","","com.codecool.vizsgaremek.functions.RepeatedAndSequentialDataEntriesTest","editAccountMultipleTimesTest","TC27 - Multiple edit user account","Edit user account multiple times"
"passed","Sun May 07 15:57:54 GMT 2023","Sun May 07 15:57:55 GMT 2023","1103","","com.codecool.vizsgaremek.functions.ListDataTest","","com.codecool.vizsgaremek.functions.ListDataTest","membersBusinessCardTest","TC22 - Team members' business card validation","Team members business card checking"
"passed","Sun May 07 15:57:57 GMT 2023","Sun May 07 15:57:59 GMT 2023","2453","","com.codecool.vizsgaremek.functions.GoingOverMultiplePageListTest","","com.codecool.vizsgaremek.functions.GoingOverMultiplePageListTest","collectAllProjectName","TC19 - Collect all projects","Going over multiple page list and collect project names"
"failed","Sun May 07 15:58:20 GMT 2023","Sun May 07 15:58:22 GMT 2023","2399","","com.codecool.vizsgaremek.functions.NewDataEntryTest","","com.codecool.vizsgaremek.functions.NewDataEntryTest","sendMessage","TC17 - Message sending test","Message sending throughout the contact form"
"passed","Sun May 07 15:58:23 GMT 2023","Sun May 07 15:58:24 GMT 2023","1138","","com.codecool.vizsgaremek.functions.LoginAndLogoutTest","","com.codecool.vizsgaremek.functions.LoginAndLogoutTest","performLogout","TC13 - Perform logout","Perform successful logout"
"passed","Sun May 07 15:58:24 GMT 2023","Sun May 07 15:58:25 GMT 2023","1155","","com.codecool.vizsgaremek.functions.LoginAndLogoutTest","","com.codecool.vizsgaremek.functions.LoginAndLogoutTest","performLoginWithExistedUser","TC 09 - Existed user login","Perform Login with already existed user"
"passed","Sun May 07 15:58:25 GMT 2023","Sun May 07 15:58:26 GMT 2023","867","","com.codecool.vizsgaremek.functions.LoginAndLogoutTest","","com.codecool.vizsgaremek.functions.LoginAndLogoutTest","performLoginWithoutGivenPassword","TC10 - Login without password","Perform login with empty password input field"
"passed","Sun May 07 15:57:51 GMT 2023","Sun May 07 15:57:52 GMT 2023","1019","","com.codecool.vizsgaremek.functions.MenuDisplayTest","","com.codecool.vizsgaremek.functions.MenuDisplayTest","testMenu","TC14 - Menu display validation","The correct menu is displayed"
"passed","Sun May 07 15:57:40 GMT 2023","Sun May 07 15:57:43 GMT 2023","3404","","com.codecool.vizsgaremek.functions.DataModificationTest","","com.codecool.vizsgaremek.functions.DataModificationTest","editAccountTest","TC15 - Edit user account","Edit user account"
"failed","Sun May 07 15:58:18 GMT 2023","Sun May 07 15:58:20 GMT 2023","1933","","com.codecool.vizsgaremek.functions.NewDataEntryTest","","com.codecool.vizsgaremek.functions.NewDataEntryTest","sendMessageWithInvalidEmail","TC18 - Message sending test with invalid email","Message sending throughout the contact form with invalid email"
"passed","Sun May 07 15:57:48 GMT 2023","Sun May 07 15:57:51 GMT 2023","2710","","com.codecool.vizsgaremek.functions.RegistrationTest","","com.codecool.vizsgaremek.functions.RegistrationTest","multipleRegistrationFromJsonFile","TC08 - Multiple registration from Json file","Perform multiple registration from Json file"
"passed","Sun May 07 15:58:27 GMT 2023","Sun May 07 15:58:27 GMT 2023","848","","com.codecool.vizsgaremek.functions.LoginAndLogoutTest","","com.codecool.vizsgaremek.functions.LoginAndLogoutTest","performLoginWithMisspelledUsername","TC11 - Login with misspelled username","Perform login with misspelled username"
"passed","Sun May 07 15:57:59 GMT 2023","Sun May 07 15:58:02 GMT 2023","2547","","com.codecool.vizsgaremek.functions.GoingOverMultiplePageListTest","","com.codecool.vizsgaremek.functions.GoingOverMultiplePageListTest","collectAllBlogTitle","TC20 - Collect all blog titles","Going over multiple page list and collect blog titles"
"passed","Sun May 07 15:58:22 GMT 2023","Sun May 07 15:58:23 GMT 2023","576","","com.codecool.vizsgaremek.functions.BasicTest","","com.codecool.vizsgaremek.functions.BasicTest","arriveCorrectUrl","TC01 - Arrive correct URL","Arrive at the correct URL"
"passed","Sun May 07 15:58:03 GMT 2023","Sun May 07 15:58:04 GMT 2023","1360","","com.codecool.vizsgaremek.functions.SaveTest","","com.codecool.vizsgaremek.functions.SaveTest","saveKioTapeBrandPortfolioToAFile","TC26 - Save Kio Tape Brand content","Save Kio Tape Brand content to a file"
"passed","Sun May 07 15:58:04 GMT 2023","Sun May 07 15:58:06 GMT 2023","1629","","com.codecool.vizsgaremek.functions.SaveTest","","com.codecool.vizsgaremek.functions.SaveTest","saveDesignInspirationBlogToAFile","TC25 - Save Design Inspiration content","Save Design Inspiration content to a file"
